Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
17-Jan-25	232.71		0.4	0.17%	233.28	232.1	235.75	"1,908,709"		
16-Jan-25	232.31		4.43	1.94%	228.23	227.89	232.47	"1,572,635"		
15-Jan-25	227.88		-3.85	-1.66%	232.17	225.47	233.04	"2,703,625"		
14-Jan-25	231.73		2.28	0.99%	228.44	228.35	231.94	"1,427,827"		
13-Jan-25	229.45		0.25	0.11%	228.75	228.26	230.55	"1,650,044"		
10-Jan-25	229.2		-0.1	-0.04%	228.93	226.92	229.89	"2,739,765"		
8-Jan-25	229.3		2.29	1.01%	227.62	226.28	229.41	"2,002,451"		
7-Jan-25	227.01		1.19	0.53%	226.67	224.62	228.05	"2,121,004"		
6-Jan-25	225.82		-6.68	-2.87%	229.35	225.43	231.01	"2,297,668"		
3-Jan-25	232.5		-0.22	-0.09%	231.64	230.49	232.76	"1,597,939"		
2-Jan-25	232.72		0.49	0.21%	232.49	231.81	234.14	"2,246,601"		
31-Dec-24	232.23		0.7	0.30%	232.72	231.62	233.16	"1,041,940"		
30-Dec-24	231.53		-1.97	-0.84%	232.76	231.19	233.51	"1,224,626"		
27-Dec-24	233.5		-5.71	-2.39%	231.71	231.71	234.8	"1,384,045"		
26-Dec-24	239.21		-0.26	-0.11%	238.47	238.24	239.63	"1,174,716"		
24-Dec-24	239.47		1.46	0.61%	238.07	238.02	239.56	"478,413"		
23-Dec-24	238.01		-0.52	-0.22%	238	235.81	238.58	"1,620,098"		
20-Dec-24	238.53		1.71	0.72%	237	235.6	240.31	"3,172,716"		
19-Dec-24	236.82		-0.26	-0.11%	236.83	236.59	240.21	"2,854,306"		
18-Dec-24	237.08		1.09	0.46%	235.12	235	239.79	"2,864,960"		
17-Dec-24	235.99		0.07	0.03%	236.08	234.06	236.7	"1,613,059"		
16-Dec-24	235.92		-1.27	-0.54%	237.85	235.27	238.6	"1,840,993"		
13-Dec-24	237.19		1.24	0.53%	235.27	234.08	237.5	"1,810,833"		
12-Dec-24	235.95		1.65	0.70%	235.71	234.33	236.8	"1,695,837"		
11-Dec-24	234.3		-4.89	-2.04%	238.16	234.16	239.19	"3,689,291"		
10-Dec-24	239.19		2.47	1.04%	236	234.94	240.25	"2,164,665"		
9-Dec-24	236.72		-2.66	-1.11%	239.04	234.89	240	"2,125,370"		
6-Dec-24	239.38		-6.64	-2.70%	244.8	239.29	245.16	"3,162,626"		
5-Dec-24	246.02		3.02	1.24%	245.68	241.57	249.02	"3,253,004"		
4-Dec-24	243		2.27	0.94%	240.45	238.96	243.55	"5,095,970"		
3-Dec-24	240.73		5.12	2.17%	236.9	236.24	241.5	"3,601,081"		
2-Dec-24	235.61		-2.39	-1.00%	238.19	234.86	238.78	"2,683,734"		
29-Nov-24	238		0.67	0.28%	237.46	235.9	238.97	"1,161,320"		
27-Nov-24	237.33		2.94	1.25%	235.18	234.22	238.12	"2,129,150"		
26-Nov-24	234.39		5.02	2.19%	229.77	229.08	235.18	"2,752,881"		
25-Nov-24	229.37		0.33	0.14%	229.98	227.01	229.98	"3,149,002"		
