Dates	Close
Jul-07-2022	26.08
Jul-08-2022	24.64
Jul-11-2022	26.17
Jul-12-2022	27.29
Jul-13-2022	26.82
Jul-14-2022	26.40
Jul-15-2022	24.23
Jul-18-2022	25.30
Jul-19-2022	24.50
Jul-20-2022	23.88
Jul-21-2022	23.11
Jul-22-2022	23.03
Jul-25-2022	23.36
Jul-26-2022	24.69
Jul-27-2022	23.24
Jul-28-2022	22.33
Jul-29-2022	21.33
Aug-01-2022	22.84
Aug-02-2022	23.93
Aug-03-2022	21.95
Aug-04-2022	21.44
Aug-05-2022	21.15
Aug-08-2022	21.29
Aug-09-2022	21.77
Aug-10-2022	19.74
Aug-11-2022	20.20
Aug-12-2022	19.53
Aug-15-2022	19.95
Aug-16-2022	19.69
Aug-17-2022	19.90
Aug-18-2022	19.56
Aug-19-2022	20.60
Aug-22-2022	23.80
Aug-23-2022	24.11
Aug-24-2022	22.82
Aug-25-2022	21.78
Aug-26-2022	25.56
Aug-29-2022	26.21
Aug-30-2022	26.21
Aug-31-2022	25.87
Sep-01-2022	25.56
Sep-02-2022	25.47
Sep-06-2022	26.91
Sep-07-2022	24.64
Sep-08-2022	23.61
Sep-09-2022	22.79
Sep-12-2022	23.87
Sep-13-2022	27.27
Sep-14-2022	26.16
Sep-15-2022	26.27
Sep-16-2022	26.30
Sep-19-2022	25.76
Sep-20-2022	27.16
Sep-21-2022	27.99
Sep-22-2022	27.35
Sep-23-2022	29.92
Sep-26-2022	32.26
Sep-27-2022	32.60
Sep-28-2022	30.18
Sep-29-2022	31.84
Sep-30-2022	31.62
Oct-03-2022	30.10
Oct-04-2022	29.07
Oct-05-2022	28.55
Oct-06-2022	30.52
Oct-07-2022	31.36
Oct-10-2022	32.45
Oct-11-2022	33.63
Oct-12-2022	33.57
Oct-13-2022	31.94
Oct-14-2022	32.02
Oct-17-2022	31.37
Oct-18-2022	30.50
Oct-19-2022	30.76
Oct-20-2022	29.98
Oct-21-2022	29.69
Oct-24-2022	29.85
Oct-25-2022	28.46
Oct-26-2022	27.28
Oct-27-2022	27.39
Oct-28-2022	25.75
Oct-31-2022	25.88
Nov-01-2022	25.81
Nov-02-2022	25.86
Nov-03-2022	25.30
Nov-04-2022	24.55
Nov-07-2022	24.35
Nov-08-2022	25.54
Nov-09-2022	26.09
Nov-10-2022	23.53
Nov-11-2022	22.52
Nov-14-2022	23.73
Nov-15-2022	24.54
Nov-16-2022	24.11
Nov-17-2022	23.93
Nov-18-2022	23.12
Nov-21-2022	22.36
Nov-22-2022	21.29
Nov-23-2022	20.35
Nov-25-2022	20.50
Nov-28-2022	22.21
Nov-29-2022	21.89
Nov-30-2022	20.58
Dec-01-2022	19.84
Dec-02-2022	19.06
Dec-05-2022	20.75
Dec-06-2022	22.17
Dec-07-2022	22.68
Dec-08-2022	22.29
Dec-09-2022	22.83
Dec-12-2022	25.00
Dec-13-2022	22.55
Dec-14-2022	21.14
Dec-15-2022	22.83
Dec-16-2022	22.62
Dec-19-2022	22.42
Dec-20-2022	21.48
Dec-21-2022	20.07
Dec-22-2022	21.97
Dec-23-2022	20.87
Dec-27-2022	21.65
Dec-28-2022	22.14
Dec-29-2022	21.44
Dec-30-2022	21.67
Jan-03-2023	22.90
Jan-04-2023	22.01
Jan-05-2023	22.46
Jan-06-2023	21.13
Jan-09-2023	21.97
Jan-10-2023	20.58
Jan-11-2023	21.09
Jan-12-2023	18.83
Jan-13-2023	18.35
Jan-17-2023	19.36
Jan-18-2023	20.34
Jan-19-2023	20.52
Jan-20-2023	19.85
Jan-23-2023	19.81
Jan-24-2023	19.20
Jan-25-2023	19.08
Jan-26-2023	18.73
Jan-27-2023	18.51
Jan-30-2023	19.94
Jan-31-2023	19.40
Feb-01-2023	17.87
Feb-02-2023	18.73
Feb-03-2023	18.33
Feb-06-2023	19.43
Feb-07-2023	18.66
Feb-08-2023	19.63
Feb-09-2023	20.71
Feb-10-2023	20.53
Feb-13-2023	20.34
Feb-14-2023	18.91
Feb-15-2023	18.23
Feb-16-2023	20.17
Feb-17-2023	20.02
Feb-21-2023	22.87
Feb-22-2023	22.29
Feb-23-2023	21.14
Feb-24-2023	21.67
Feb-27-2023	20.95
Feb-28-2023	20.70
Mar-01-2023	20.58
Mar-02-2023	19.59
Mar-03-2023	18.49
Mar-06-2023	18.61
Mar-07-2023	19.59
Mar-08-2023	19.11
Mar-09-2023	22.61
Mar-10-2023	24.80
Mar-13-2023	26.52
Mar-14-2023	23.73
Mar-15-2023	26.14
Mar-16-2023	22.99
Mar-17-2023	25.51
Mar-20-2023	24.15
Mar-21-2023	21.38
Mar-22-2023	22.26
Mar-23-2023	22.61
Mar-24-2023	21.74
Mar-27-2023	20.60
Mar-28-2023	19.97
Mar-29-2023	19.12
Mar-30-2023	19.02
Mar-31-2023	18.70
Apr-03-2023	18.55
Apr-04-2023	19.00
Apr-05-2023	19.08
Apr-06-2023	18.40
Apr-10-2023	18.97
Apr-11-2023	19.10
Apr-12-2023	19.09
Apr-13-2023	17.80
Apr-14-2023	17.07
Apr-17-2023	16.95
Apr-18-2023	16.83
Apr-19-2023	16.46
Apr-20-2023	17.17
Apr-21-2023	16.77
Apr-24-2023	16.89
Apr-25-2023	18.76
Apr-26-2023	18.84
Apr-27-2023	17.03
Apr-28-2023	15.78
May-01-2023	16.08
May-02-2023	17.78
May-03-2023	18.34
May-04-2023	20.09
May-05-2023	17.19
May-08-2023	16.98
May-09-2023	17.71
May-10-2023	16.94
May-11-2023	16.93
May-12-2023	17.03
May-15-2023	17.12
May-16-2023	17.99
May-17-2023	16.87
May-18-2023	16.05
May-19-2023	16.81
May-22-2023	17.21
May-23-2023	18.53
May-24-2023	20.03
May-25-2023	19.14
May-26-2023	17.95
May-30-2023	17.46
May-31-2023	17.94
Jun-01-2023	15.65
Jun-02-2023	14.60
Jun-05-2023	14.73
Jun-06-2023	13.96
Jun-07-2023	13.94
Jun-08-2023	13.65
Jun-09-2023	13.83
Jun-12-2023	15.01
Jun-13-2023	14.61
Jun-14-2023	13.88
Jun-15-2023	14.50
Jun-16-2023	13.54
Jun-19-2023	14.19
Jun-20-2023	13.88
Jun-21-2023	13.20
Jun-22-2023	12.91
Jun-23-2023	13.44
Jun-26-2023	14.25
Jun-27-2023	13.74
Jun-28-2023	13.43
Jun-29-2023	13.54
